recnumb,subj,day,scc,tri,Posevent,NegEvent,pa,na,posC,negC,paC,naC,anx,anxC
97,8,7,4.333333492,6,1.357142806,0.083333336,5,1.899999976,0.278273752,-0.20833333,0.693750009,-0.443750009,38,-5.378076127
98,8,8,5,6,1.428571463,0,4.699999809,1.799999952,0.349702409,-0.291666666,0.393749818,-0.543750033,38,-5.378076127
99,8,9,4,5,1.261904716,0.833333313,4.300000191,1.899999976,0.183035662,0.541666648,-0.0062498,-0.443750009,38,-5.378076127
100,8,10,5,6,0.928571403,0,5.199999809,1.899999976,-0.150297651,-0.291666666,0.893749818,-0.443750009,38,-5.378076127
101,8,11,4,6,0.857142866,0,4.599999905,1.700000048,-0.221726188,-0.291666666,0.293749914,-0.643749937,38,-5.378076127
102,8,12,3.5,6,1.571428537,0,5.300000191,2,0.492559483,-0.291666666,0.9937502,-0.343749985,38,-5.378076127
103,8,13,4,6,1.142857194,0,4.699999809,1.799999952,0.06398814,-0.291666666,0.393749818,-0.543750033,38,-5.378076127
104,8,14,4,4.5,0.428571433,0,3.799999952,2.400000095,-0.650297621,-0.291666666,-0.506250039,0.05625011,38,-5.378076127
105,8,15,5,6,1,0.333333343,5.199999809,1.899999976,-0.078869054,0.041666678,0.893749818,-0.443750009,38,-5.378076127
106,8,16,4,5,0.714285731,0.416666657,3.799999952,2,-0.364583323,0.124999991,-0.506250039,-0.343749985,38,-5.378076127
107,9,1,2.5,4.333333492,1.857142806,1.583333373,3.599999905,5.599999905,0.476190438,0.577777817,-0.133333445,1.179999916,65,21.62192387
108,9,2,2.75,5.666666508,2.214285612,1.166666627,4.400000095,4.300000191,0.833333244,0.161111071,0.666666746,-0.119999798,65,21.62192387
109,9,3,1.5,6.333333492,2,1.833333373,4.800000191,5,0.619047632,0.827777817,1.066666842,0.580000011,65,21.62192387
110,9,4,1.5,3.666666746,0.785714269,1.5,3.5,4.699999809,-0.595238099,0.494444444,-0.233333349,0.27999982,65,21.62192387
111,9,5,1.75,5,1,1.25,3.700000048,5.599999905,-0.380952368,0.244444444,-0.033333302,1.179999916,65,21.62192387
112,9,6,1.25,5.666666508,1.357142806,0.75,4.099999905,4.699999809,-0.023809562,-0.255555556,0.366666555,0.27999982,65,21.62192387
